date,revenue,transactions,avg_price,first_sale_hour,last_sale_hour,avg_sale_hour,year,month,day,dayofweek,quarter,week_of_year,is_weekend,is_month_start,is_month_end,month_sin,month_cos,dayofweek_sin,dayofweek_cos,transactions_lag_1,transactions_lag_7,transactions_lag_14,transactions_roll_3,transactions_roll_7,transactions_roll_30,transactions_vol_7,total_daily_transactions,total_daily_revenue,market_share_transactions,product_Americano,product_Americano with Milk,product_Cappuccino,product_Cocoa,product_Cortado,product_Espresso,product_Hot Chocolate,product_Latte
2024-11-08,0.0,0.0,0.0,0.0,0.0,0.0,2024,11,8,4,4,45,0,0,0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0.0,0.0,1.0,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.3779644730092269,11.0,359.06,0.0,False,False,False,False,False,True,False,False
2024-11-09,0.0,0.0,0.0,0.0,0.0,0.0,2024,11,9,5,4,45,1,0,0,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,0.0,0.0,1.0,0.0,0.14285714285714285,0.3333333333333333,0.3779644730092269,15.0,487.4,0.0,False,False,False,False,False,True,False,False
2024-11-10,0.0,0.0,0.0,0.0,0.0,0.0,2024,11,10,6,4,45,1,0,0,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,0.0,0.0,0.0,0.0,0.14285714285714285,0.3333333333333333,0.3779644730092269,9.0,292.44,0.0,False,False,False,False,False,True,False,False
2024-11-11,0.0,0.0,0.0,0.0,0.0,0.0,2024,11,11,0,4,46,0,0,0,-0.5000000000000004,0.8660254037844384,0.0,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.3333333333333333,0.3779644730092269,10.0,342.9,0.0,False,False,False,False,False,True,False,False
2024-11-12,0.0,0.0,0.0,0.0,0.0,0.0,2024,11,12,1,4,46,0,0,0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,0.0,0.0,1.0,0.0,0.14285714285714285,0.3,0.3779644730092269,9.0,321.84,0.0,False,False,False,False,False,True,False,False
2024-11-13,0.0,0.0,0.0,0.0,0.0,0.0,2024,11,13,2,4,46,0,0,0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0.0,1.0,0.0,0.0,0.0,0.3,0.0,6.0,194.95999999999998,0.0,False,False,False,False,False,True,False,False
2024-11-14,21.06,1.0,21.06,14.0,14.0,14.0,2024,11,14,3,4,46,0,0,0,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,0.0,0.0,0.0,0.3333333333333333,0.14285714285714285,0.26666666666666666,0.3779644730092269,13.0,435.48,0.07692307692307693,False,False,False,False,False,True,False,False
2024-11-15,0.0,0.0,0.0,0.0,0.0,0.0,2024,11,15,4,4,46,0,0,0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,1.0,0.0,0.0,0.3333333333333333,0.14285714285714285,0.26666666666666666,0.3779644730092269,12.0,394.82000000000005,0.0,False,False,False,False,False,True,False,False
2024-11-16,0.0,0.0,0.0,0.0,0.0,0.0,2024,11,16,5,4,46,1,0,0,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,0.0,0.0,0.0,0.3333333333333333,0.14285714285714285,0.26666666666666666,0.3779644730092269,13.0,420.78,0.0,False,False,False,False,False,True,False,False
2024-11-17,0.0,0.0,0.0,0.0,0.0,0.0,2024,11,17,6,4,46,1,0,0,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,0.0,0.0,0.0,0.0,0.14285714285714285,0.26666666666666666,0.3779644730092269,9.0,297.34000000000003,0.0,False,False,False,False,False,True,False,False
