date,product,transactions,h,yhat,model
2025-03-20,Americano,8.0,4,,lstm_direct
2025-03-20,Americano with Milk,3.0,4,,lstm_direct
2025-03-20,Cappuccino,4.0,4,,lstm_direct
2025-03-20,Cocoa,1.0,4,,lstm_direct
2025-03-20,Cortado,1.0,4,,lstm_direct
2025-03-20,Espresso,1.0,4,,lstm_direct
2025-03-20,Hot Chocolate,1.0,4,,lstm_direct
2025-03-20,Latte,1.0,4,,lstm_direct
2025-03-21,Americano,7.0,5,,lstm_direct
2025-03-21,Americano with Milk,2.0,5,,lstm_direct
2025-03-21,Cappuccino,4.0,5,,lstm_direct
2025-03-21,Cocoa,0.0,5,,lstm_direct
2025-03-21,Cortado,0.0,5,,lstm_direct
2025-03-21,Espresso,0.0,5,,lstm_direct
2025-03-21,Hot Chocolate,1.0,5,,lstm_direct
2025-03-21,Latte,6.0,5,,lstm_direct
2025-03-22,Americano,2.0,6,,lstm_direct
2025-03-22,Americano with Milk,6.0,6,,lstm_direct
2025-03-22,Cappuccino,0.0,6,,lstm_direct
2025-03-22,Cocoa,1.0,6,,lstm_direct
2025-03-22,Cortado,0.0,6,,lstm_direct
2025-03-22,Espresso,1.0,6,,lstm_direct
2025-03-22,Hot Chocolate,1.0,6,,lstm_direct
2025-03-22,Latte,1.0,6,,lstm_direct
2025-03-23,Americano,1.0,7,,lstm_direct
2025-03-23,Americano with Milk,0.0,7,,lstm_direct
2025-03-23,Cappuccino,1.0,7,,lstm_direct
2025-03-23,Cocoa,2.0,7,,lstm_direct
2025-03-23,Cortado,0.0,7,,lstm_direct
2025-03-23,Espresso,0.0,7,,lstm_direct
2025-03-23,Hot Chocolate,0.0,7,,lstm_direct
2025-03-23,Latte,2.0,7,,lstm_direct
