date,product,h,y,yhat,model
2025-03-05,Cappuccino,3,3.0,1.7142857142857142,ma7
2025-03-06,Cappuccino,4,2.0,1.7142857142857142,ma7
2025-03-07,Cappuccino,5,2.0,1.7142857142857142,ma7
2025-03-08,Cappuccino,6,1.0,1.7142857142857142,ma7
2025-03-09,Cappuccino,7,2.0,1.7142857142857142,ma7
2025-03-03,Cocoa,1,2.0,1.8571428571428572,ma7
2025-03-04,Cocoa,2,2.0,1.8571428571428572,ma7
2025-03-05,Cocoa,3,2.0,1.8571428571428572,ma7
2025-03-06,Cocoa,4,1.0,1.8571428571428572,ma7
2025-03-07,Cocoa,5,2.0,1.8571428571428572,ma7
2025-03-08,Cocoa,6,0.0,1.8571428571428572,ma7
2025-03-09,Cocoa,7,1.0,1.8571428571428572,ma7
2025-03-03,Cortado,1,0.0,0.14285714285714285,ma7
2025-03-04,Cortado,2,0.0,0.14285714285714285,ma7
2025-03-05,Cortado,3,0.0,0.14285714285714285,ma7
2025-03-06,Cortado,4,0.0,0.14285714285714285,ma7
2025-03-07,Cortado,5,0.0,0.14285714285714285,ma7
2025-03-08,Cortado,6,0.0,0.14285714285714285,ma7
2025-03-09,Cortado,7,0.0,0.14285714285714285,ma7
2025-03-03,Espresso,1,0.0,0.42857142857142855,ma7
2025-03-04,Espresso,2,0.0,0.42857142857142855,ma7
2025-03-05,Espresso,3,1.0,0.42857142857142855,ma7
2025-03-06,Espresso,4,1.0,0.42857142857142855,ma7
2025-03-07,Espresso,5,0.0,0.42857142857142855,ma7
2025-03-08,Espresso,6,0.0,0.42857142857142855,ma7
2025-03-09,Espresso,7,1.0,0.42857142857142855,ma7
2025-03-03,Hot Chocolate,1,5.0,0.5714285714285714,ma7
2025-03-04,Hot Chocolate,2,0.0,0.5714285714285714,ma7
2025-03-05,Hot Chocolate,3,1.0,0.5714285714285714,ma7
2025-03-06,Hot Chocolate,4,1.0,0.5714285714285714,ma7
2025-03-07,Hot Chocolate,5,3.0,0.5714285714285714,ma7
2025-03-08,Hot Chocolate,6,0.0,0.5714285714285714,ma7
2025-03-09,Hot Chocolate,7,0.0,0.5714285714285714,ma7
2025-03-03,Latte,1,5.0,2.5714285714285716,ma7
2025-03-04,Latte,2,2.0,2.5714285714285716,ma7
2025-03-05,Latte,3,3.0,2.5714285714285716,ma7
2025-03-06,Latte,4,1.0,2.5714285714285716,ma7
2025-03-07,Latte,5,3.0,2.5714285714285716,ma7
2025-03-08,Latte,6,0.0,2.5714285714285716,ma7
2025-03-09,Latte,7,0.0,2.5714285714285716,ma7
2025-03-10,Americano,1,4.0,2.0,naive1
2025-03-11,Americano,2,4.0,2.0,naive1
2025-03-12,Americano,3,6.0,2.0,naive1
2025-03-13,Americano,4,3.0,2.0,naive1
2025-03-14,Americano,5,10.0,2.0,naive1
2025-03-15,Americano,6,1.0,2.0,naive1
2025-03-16,Americano,7,1.0,2.0,naive1
2025-03-10,Americano with Milk,1,3.0,2.0,naive1
2025-03-11,Americano with Milk,2,1.0,2.0,naive1
2025-03-12,Americano with Milk,3,1.0,2.0,naive1
2025-03-13,Americano with Milk,4,4.0,2.0,naive1
2025-03-14,Americano with Milk,5,1.0,2.0,naive1
2025-03-15,Americano with Milk,6,3.0,2.0,naive1
2025-03-16,Americano with Milk,7,1.0,2.0,naive1
2025-03-10,Cappuccino,1,1.0,2.0,naive1
2025-03-11,Cappuccino,2,2.0,2.0,naive1
2025-03-12,Cappuccino,3,3.0,2.0,naive1
2025-03-13,Cappuccino,4,2.0,2.0,naive1
2025-03-14,Cappuccino,5,1.0,2.0,naive1
2025-03-15,Cappuccino,6,3.0,2.0,naive1
2025-03-16,Cappuccino,7,1.0,2.0,naive1
2025-03-10,Cocoa,1,1.0,1.0,naive1
2025-03-11,Cocoa,2,2.0,1.0,naive1
2025-03-12,Cocoa,3,2.0,1.0,naive1
2025-03-13,Cocoa,4,0.0,1.0,naive1
2025-03-14,Cocoa,5,3.0,1.0,naive1
2025-03-15,Cocoa,6,0.0,1.0,naive1
2025-03-16,Cocoa,7,0.0,1.0,naive1
2025-03-10,Cortado,1,0.0,0.0,naive1
2025-03-11,Cortado,2,0.0,0.0,naive1
2025-03-12,Cortado,3,0.0,0.0,naive1
2025-03-13,Cortado,4,0.0,0.0,naive1
2025-03-14,Cortado,5,0.0,0.0,naive1
2025-03-15,Cortado,6,0.0,0.0,naive1
2025-03-16,Cortado,7,0.0,0.0,naive1
2025-03-10,Espresso,1,0.0,1.0,naive1
2025-03-11,Espresso,2,0.0,1.0,naive1
2025-03-12,Espresso,3,0.0,1.0,naive1
2025-03-13,Espresso,4,1.0,1.0,naive1
2025-03-14,Espresso,5,1.0,1.0,naive1
2025-03-15,Espresso,6,0.0,1.0,naive1
2025-03-16,Espresso,7,0.0,1.0,naive1
2025-03-10,Hot Chocolate,1,3.0,0.0,naive1
2025-03-11,Hot Chocolate,2,2.0,0.0,naive1
2025-03-12,Hot Chocolate,3,1.0,0.0,naive1
2025-03-13,Hot Chocolate,4,0.0,0.0,naive1
2025-03-14,Hot Chocolate,5,0.0,0.0,naive1
2025-03-15,Hot Chocolate,6,0.0,0.0,naive1
2025-03-16,Hot Chocolate,7,1.0,0.0,naive1
2025-03-10,Latte,1,5.0,0.0,naive1
2025-03-11,Latte,2,2.0,0.0,naive1
2025-03-12,Latte,3,4.0,0.0,naive1
2025-03-13,Latte,4,2.0,0.0,naive1
2025-03-14,Latte,5,7.0,0.0,naive1
2025-03-15,Latte,6,0.0,0.0,naive1
2025-03-16,Latte,7,1.0,0.0,naive1
2025-03-10,Americano,1,4.0,4.0,snaive7
2025-03-11,Americano,2,4.0,9.0,snaive7
2025-03-12,Americano,3,6.0,6.0,snaive7
2025-03-13,Americano,4,3.0,3.0,snaive7
2025-03-14,Americano,5,10.0,4.0,snaive7
2025-03-15,Americano,6,1.0,4.0,snaive7
2025-03-16,Americano,7,1.0,2.0,snaive7
2025-03-10,Americano with Milk,1,3.0,2.0,snaive7
2025-03-11,Americano with Milk,2,1.0,2.0,snaive7
2025-03-12,Americano with Milk,3,1.0,3.0,snaive7
2025-03-13,Americano with Milk,4,4.0,3.0,snaive7
2025-03-14,Americano with Milk,5,1.0,3.0,snaive7
2025-03-15,Americano with Milk,6,3.0,3.0,snaive7
2025-03-16,Americano with Milk,7,1.0,2.0,snaive7
2025-03-10,Cappuccino,1,1.0,4.0,snaive7
2025-03-11,Cappuccino,2,2.0,1.0,snaive7
2025-03-12,Cappuccino,3,3.0,3.0,snaive7
2025-03-13,Cappuccino,4,2.0,2.0,snaive7
2025-03-14,Cappuccino,5,1.0,2.0,snaive7
2025-03-15,Cappuccino,6,3.0,1.0,snaive7
2025-03-16,Cappuccino,7,1.0,2.0,snaive7
2025-03-10,Cocoa,1,1.0,2.0,snaive7
2025-03-11,Cocoa,2,2.0,2.0,snaive7
2025-03-12,Cocoa,3,2.0,2.0,snaive7
2025-03-13,Cocoa,4,0.0,1.0,snaive7
2025-03-14,Cocoa,5,3.0,2.0,snaive7
2025-03-15,Cocoa,6,0.0,0.0,snaive7
2025-03-16,Cocoa,7,0.0,1.0,snaive7
2025-03-10,Cortado,1,0.0,0.0,snaive7
2025-03-11,Cortado,2,0.0,0.0,snaive7
2025-03-12,Cortado,3,0.0,0.0,snaive7
2025-03-13,Cortado,4,0.0,0.0,snaive7
2025-03-14,Cortado,5,0.0,0.0,snaive7
2025-03-15,Cortado,6,0.0,0.0,snaive7
2025-03-16,Cortado,7,0.0,0.0,snaive7
2025-03-10,Espresso,1,0.0,0.0,snaive7
2025-03-11,Espresso,2,0.0,0.0,snaive7
2025-03-12,Espresso,3,0.0,1.0,snaive7
2025-03-13,Espresso,4,1.0,1.0,snaive7
2025-03-14,Espresso,5,1.0,0.0,snaive7
2025-03-15,Espresso,6,0.0,0.0,snaive7
2025-03-16,Espresso,7,0.0,1.0,snaive7
2025-03-10,Hot Chocolate,1,3.0,5.0,snaive7
2025-03-11,Hot Chocolate,2,2.0,0.0,snaive7
2025-03-12,Hot Chocolate,3,1.0,1.0,snaive7
2025-03-13,Hot Chocolate,4,0.0,1.0,snaive7
2025-03-14,Hot Chocolate,5,0.0,3.0,snaive7
2025-03-15,Hot Chocolate,6,0.0,0.0,snaive7
2025-03-16,Hot Chocolate,7,1.0,0.0,snaive7
2025-03-10,Latte,1,5.0,5.0,snaive7
2025-03-11,Latte,2,2.0,2.0,snaive7
2025-03-12,Latte,3,4.0,3.0,snaive7
2025-03-13,Latte,4,2.0,1.0,snaive7
2025-03-14,Latte,5,7.0,3.0,snaive7
2025-03-15,Latte,6,0.0,0.0,snaive7
2025-03-16,Latte,7,1.0,0.0,snaive7
2025-03-10,Americano,1,4.0,4.571428571428571,ma7
2025-03-11,Americano,2,4.0,4.571428571428571,ma7
2025-03-12,Americano,3,6.0,4.571428571428571,ma7
2025-03-13,Americano,4,3.0,4.571428571428571,ma7
2025-03-14,Americano,5,10.0,4.571428571428571,ma7
2025-03-15,Americano,6,1.0,4.571428571428571,ma7
2025-03-16,Americano,7,1.0,4.571428571428571,ma7
2025-03-10,Americano with Milk,1,3.0,2.5714285714285716,ma7
2025-03-11,Americano with Milk,2,1.0,2.5714285714285716,ma7
2025-03-12,Americano with Milk,3,1.0,2.5714285714285716,ma7
2025-03-13,Americano with Milk,4,4.0,2.5714285714285716,ma7
2025-03-14,Americano with Milk,5,1.0,2.5714285714285716,ma7
2025-03-15,Americano with Milk,6,3.0,2.5714285714285716,ma7
2025-03-16,Americano with Milk,7,1.0,2.5714285714285716,ma7
2025-03-10,Cappuccino,1,1.0,2.142857142857143,ma7
2025-03-11,Cappuccino,2,2.0,2.142857142857143,ma7
2025-03-12,Cappuccino,3,3.0,2.142857142857143,ma7
2025-03-13,Cappuccino,4,2.0,2.142857142857143,ma7
2025-03-14,Cappuccino,5,1.0,2.142857142857143,ma7
2025-03-15,Cappuccino,6,3.0,2.142857142857143,ma7
2025-03-16,Cappuccino,7,1.0,2.142857142857143,ma7
2025-03-10,Cocoa,1,1.0,1.4285714285714286,ma7
2025-03-11,Cocoa,2,2.0,1.4285714285714286,ma7
2025-03-12,Cocoa,3,2.0,1.4285714285714286,ma7
2025-03-13,Cocoa,4,0.0,1.4285714285714286,ma7
2025-03-14,Cocoa,5,3.0,1.4285714285714286,ma7
2025-03-15,Cocoa,6,0.0,1.4285714285714286,ma7
2025-03-16,Cocoa,7,0.0,1.4285714285714286,ma7
2025-03-10,Cortado,1,0.0,0.0,ma7
2025-03-11,Cortado,2,0.0,0.0,ma7
2025-03-12,Cortado,3,0.0,0.0,ma7
2025-03-13,Cortado,4,0.0,0.0,ma7
2025-03-14,Cortado,5,0.0,0.0,ma7
2025-03-15,Cortado,6,0.0,0.0,ma7
2025-03-16,Cortado,7,0.0,0.0,ma7
2025-03-10,Espresso,1,0.0,0.42857142857142855,ma7
2025-03-11,Espresso,2,0.0,0.42857142857142855,ma7
2025-03-12,Espresso,3,0.0,0.42857142857142855,ma7
