date,product,transactions,h,yhat,model
2025-03-05,Latte,3.0,3,2.5714285714285716,ma7
2025-03-06,Americano,3.0,4,4.428571428571429,ma7
2025-03-06,Americano with Milk,3.0,4,2.857142857142857,ma7
2025-03-06,Cappuccino,2.0,4,1.7142857142857142,ma7
2025-03-06,Cocoa,1.0,4,1.8571428571428572,ma7
2025-03-06,Cortado,0.0,4,0.14285714285714285,ma7
2025-03-06,Espresso,1.0,4,0.42857142857142855,ma7
2025-03-06,Hot Chocolate,1.0,4,0.5714285714285714,ma7
2025-03-06,Latte,1.0,4,2.5714285714285716,ma7
2025-03-07,Americano,4.0,5,4.428571428571429,ma7
2025-03-07,Americano with Milk,3.0,5,2.857142857142857,ma7
2025-03-07,Cappuccino,2.0,5,1.7142857142857142,ma7
2025-03-07,Cocoa,2.0,5,1.8571428571428572,ma7
2025-03-07,Cortado,0.0,5,0.14285714285714285,ma7
2025-03-07,Espresso,0.0,5,0.42857142857142855,ma7
2025-03-07,Hot Chocolate,3.0,5,0.5714285714285714,ma7
2025-03-07,Latte,3.0,5,2.5714285714285716,ma7
2025-03-08,Americano,4.0,6,4.428571428571429,ma7
2025-03-08,Americano with Milk,3.0,6,2.857142857142857,ma7
2025-03-08,Cappuccino,1.0,6,1.7142857142857142,ma7
2025-03-08,Cocoa,0.0,6,1.8571428571428572,ma7
2025-03-08,Cortado,0.0,6,0.14285714285714285,ma7
2025-03-08,Espresso,0.0,6,0.42857142857142855,ma7
2025-03-08,Hot Chocolate,0.0,6,0.5714285714285714,ma7
2025-03-08,Latte,0.0,6,2.5714285714285716,ma7
2025-03-09,Americano,2.0,7,4.428571428571429,ma7
2025-03-09,Americano with Milk,2.0,7,2.857142857142857,ma7
2025-03-09,Cappuccino,2.0,7,1.7142857142857142,ma7
2025-03-09,Cocoa,1.0,7,1.8571428571428572,ma7
2025-03-09,Cortado,0.0,7,0.14285714285714285,ma7
2025-03-09,Espresso,1.0,7,0.42857142857142855,ma7
2025-03-09,Hot Chocolate,0.0,7,0.5714285714285714,ma7
2025-03-09,Latte,0.0,7,2.5714285714285716,ma7
2025-03-10,Americano,4.0,1,2.0,naive1
2025-03-10,Americano with Milk,3.0,1,2.0,naive1
2025-03-10,Cappuccino,1.0,1,2.0,naive1
2025-03-10,Cocoa,1.0,1,1.0,naive1
2025-03-10,Cortado,0.0,1,0.0,naive1
2025-03-10,Espresso,0.0,1,1.0,naive1
2025-03-10,Hot Chocolate,3.0,1,0.0,naive1
2025-03-10,Latte,5.0,1,0.0,naive1
2025-03-11,Americano,4.0,2,2.0,naive1
2025-03-11,Americano with Milk,1.0,2,2.0,naive1
2025-03-11,Cappuccino,2.0,2,2.0,naive1
2025-03-11,Cocoa,2.0,2,1.0,naive1
2025-03-11,Cortado,0.0,2,0.0,naive1
2025-03-11,Espresso,0.0,2,1.0,naive1
2025-03-11,Hot Chocolate,2.0,2,0.0,naive1
2025-03-11,Latte,2.0,2,0.0,naive1
2025-03-12,Americano,6.0,3,2.0,naive1
2025-03-12,Americano with Milk,1.0,3,2.0,naive1
2025-03-12,Cappuccino,3.0,3,2.0,naive1
2025-03-12,Cocoa,2.0,3,1.0,naive1
2025-03-12,Cortado,0.0,3,0.0,naive1
2025-03-12,Espresso,0.0,3,1.0,naive1
2025-03-12,Hot Chocolate,1.0,3,0.0,naive1
2025-03-12,Latte,4.0,3,0.0,naive1
2025-03-13,Americano,3.0,4,2.0,naive1
2025-03-13,Americano with Milk,4.0,4,2.0,naive1
2025-03-13,Cappuccino,2.0,4,2.0,naive1
2025-03-13,Cocoa,0.0,4,1.0,naive1
2025-03-13,Cortado,0.0,4,0.0,naive1
2025-03-13,Espresso,1.0,4,1.0,naive1
2025-03-13,Hot Chocolate,0.0,4,0.0,naive1
2025-03-13,Latte,2.0,4,0.0,naive1
